word,definition
beer,啤酒
grave,坟墓；严重的
circuit,电路；环行
show,展示；表明
transport,运输
cable,缆，索；电缆
counter,柜台；计数器
raise,举起；提高；饲养
other,其他的；另外的
contribute,捐献；贡献
professional,专业的；专业人员
accumulate,积累；堆积
when,什么时候
crowd,群；大众；拥挤
wire,金属线；电线
movie,电影
its,它的
yield,产出；屈服
be,是，在，做
fascinate,迷住，强烈吸引
rough,粗糙的；大致的
coil,卷，线圈
everywhere,到处，处处
banner,旗，旗帜，横幅
outside,外面；外部的
liberal,自由主义的；慷慨的
arrive,到达；来临；达到
remedy,治疗；补救
month,月，月份
heavy,重的；大量的
promote,促进；提升
drug,药，药物
plain,清楚的；朴素的
onto,到…上面
home,家；本国
flight,航班；飞行
somewhere,在某处
manufacturer,制造商
their,他们的
considerable,相当大的；重要的
high,高的；高级的
instant,立即的；瞬间
tonight,今晚
impact,影响；冲击
twist,扭曲；转动
theme,主题
rail,铁路；栏杆
achievement,完成；成就/绩
case,情况；病例；案件
worthy,有价值的
detect,察觉，发觉
carriage,客车厢；四轮马车
protection,保护
language,语言
impressive,给人深刻印象的
offend,冒犯；得罪
introduction,介绍；导言
unable,不能的
send,送；发送
offensive,冒犯的；进攻的
reality,现实；真实
passenger,乘客
okay,好的
unlike,不像；不同的
game,游戏；比赛
journal,期刊；日志
stir,搅拌；激起
print,印刷；打印
excellent,优秀的，极好的
mostly,主要地；大部分
season,季节
load,装载；负担
stream,溪流；流
characteristic,特有的；特性
suggest,建议；暗示
just,刚刚；只是；公正的
poet,诗人
result,结果
even,甚至；均匀的
adopt,收养；采用；采取
writer,作家
cheer,使振奋；欢呼
church,教堂，礼拜堂
loan,贷款；借出
ear,耳朵；听力
below,在…下面(以下)
cigarette,香烟，纸烟
gun,枪，炮
assist,援助，帮助；搀扶
engine,发动机，引擎
idea,想法；主意
fold,折叠；褶
against,倚在；逆，对着
sweep,扫；席卷
classical,古典的；经典的
charge,索价；控告；充电
rent,租金；租用
rice,米饭；稻
box,箱，盒；包箱
whatever,无论什么
teach,教；教授
piece,块；片；篇
pressure,压力
ourselves,我们自己
treaty,条约
republic,共和国
actress,女演员
concern,涉及，关系到；关心
chocolate,巧克力；巧克力糖
you,你；你们
the,这，那
leader,领袖；领导人
desire,渴望；要求
during,在…期间
mortgage,抵押
billion,万亿(英)
abandon,丢弃；放弃，抛弃
complaint,抱怨；控告
deep,深的；深刻的
industry,工业；产业
facility,设备；便利
peak,山峰；顶点
